country_region,sub_region_1,date,Adrenal crisis,Ageusia,Allergic conjunctivitis,Amenorrhea,Angular cheilitis,Anosmia,Asphyxia,Atheroma,Auditory hallucination,Balance disorder,Beau's lines,Bleeding on probing,Burning Chest Pain,Burning mouth syndrome,Cataplexy,Chorea,Cleft lip and cleft palate,Clouding of consciousness,Crackles,Crepitus,Croup,Cyanosis,Depersonalization,Developmental disability,Dysautonomia,Dysgeusia,Dyspareunia,Dystonia,Dysuria,Epiphora,Esophagitis,Eye pain,Facial swelling,Fibrocystic breast changes,Focal seizure,Gastroparesis,Gingival recession,Globus pharyngis,Goitre,Grandiosity,Granuloma,Hemolysis,Hemoptysis,Hepatic encephalopathy,Hepatotoxicity,Hydrocephalus,Hypercalcaemia,Hypercapnia,Hyperemesis gravidarum,Hypersomnia,Hyperventilation,Hypocalcaemia,Hypochondriasis,Hypomania,Kyphosis,Laryngitis,Leukorrhea,Malabsorption,Male infertility,Mitral insufficiency,Muscle atrophy,Myoclonus,Nasal polyp,Neck mass,Neutropenia,Night terror,Nocturnal enuresis,Nystagmus,Onychorrhexis,Osteophyte,Papule,Pericarditis,Petechia,Photodermatitis,Photophobia,Polydipsia,Polyuria,Ptosis,Pulmonary edema,Rectal pain,Rectal prolapse,Rheum,Round ligament pain,Rumination,Sensitivity to sound,Shallow breathing,Spasticity,Splenomegaly,Sputum,Stomach rumble,Stridor,Subdural hematoma,Tachypnea,Tenderness,Thyroid nodule,Trichoptilosis,Upper respiratory tract infection,Urethritis,Urinary urgency,Ventricular fibrillation,hospitalized_new
United States,Alaska,2020-06-01,0.107458292,,0.094945678,,1,,1,0.145214521,0.033613445,0.196542311,0.623853211,0.015432099,,0.131443299,0.186254296,,0.103858637,0.721258134,,0.279040404,0.000239292,,,0.324986088,,0.225234619,0.192353644,0.496937213,0.020454545,,0.327810651,0.886075949,0.297085202,0.129170231,0.078020932,0.395929695,0.367394696,0.087613293,0.465073529,0.523522316,0.506261181,0.08751334,0.03724605,0.317662008,0.210440457,0.60617284,0.563731932,0.534154535,0.531195841,0.0625,0.207106599,0.483438486,0.243946731,0.316054716,0.235663082,,0.434535104,0.343269231,,0.042713568,0.751748252,0.159559835,0,1,0.03125,0.235737352,0.574193548,0.423036649,0.09375,0.50143472,0.807228916,,0,0.025834909,0.033745782,,0.219858156,0.284,,,0.617824773,0.53411306,0.494047619,0.002680965,0.08714409,0.060165975,,0.603528319,0.067834681,0.449596774,,0.163773148,0.247619048,0.159298246,1,0.098305085,0.016157989,0.1,,,0
United States,Montana,2020-03-23,0.116649269,0.684260731,0.058622652,0.147938561,,1,0.083526171,0.277423469,0.240031274,0.223316913,0.270367055,0,1,0,0.462912088,0.636894075,0.177140613,0,1,0.356637863,0,0.647714604,0,0,0.088522589,0.809016907,0.351001178,0,0,1,0.505569837,0,0.261083744,0,0,0,0.137566138,1,0,0,0,1,0.578370979,0.450827653,0,0.285055351,0.378959952,0.107862248,0.754098361,0.162162162,0.846908734,0,0.682,0,0,0.411552347,0,0,0.787878788,0.250777847,0.695652174,0.390330189,0.332099907,0.323832146,0.419090909,0.412647374,0,0.05179704,0.564620355,0,0.219946572,0.468919734,0,,0.48029819,0,0.394566624,0,0.941986234,0.181225554,0.038461538,0.556396669,0,0.539400666,0.628683694,0.780082988,0.172377985,0,0,0.366631243,0.482817869,0.050025786,0.969083156,0.495915986,0,0.312682216,0,0,0.045215563,0.114822547,8
United States,Montana,2020-03-30,0.193632568,0.330683625,0.236198065,0.351657235,0.227959698,0.546850733,0.082203857,0.205357143,0.511336982,0.197865353,0.589077887,,0.906293706,,0.223901099,0.359066427,0.192458759,0.170598911,0.61026936,0.274155538,,0.280936455,0.263543192,,0.046398046,0.564809017,0.438162544,,,0.638202247,0.706940874,,0.149425287,0.435865504,0.407920792,0.100284495,0.266313933,0.85875,,,,0.281910009,0.527720739,0.464459591,0.268442623,0.011070111,0.586371787,0.180636777,0.260655738,0.109073359,0.982335623,,0.6805,0.372315036,,0.253739041,,,0.502164502,0.101431238,0.376503238,0.470518868,0.182238668,0.229612035,0.455454545,0.18113612,0.708963912,0.637420719,0.666397415,,0,0.37960169,0.552173913,,0.062832801,0.658444023,0.631306598,0.518028846,0.867256637,0.275097784,0.279807692,0.778198335,,0.165371809,0,0.531811895,0.138110073,,,0.55685441,0.344788087,0.291903043,0.423240938,0.829638273,,0.468658892,,,,0.248434238,16
United States,Montana,2020-04-06,0.104906054,0.171701113,0,0.535165724,0.268261965,0.24935289,0.040330579,0.330357143,0.232212666,0.02545156,0.553267681,,0.595804196,,0.169642857,0.968132855,0.237234878,0.22323049,0.395622896,0.457973291,,0.416945373,0.224011713,,0.068376068,0.564182843,0.640753828,,,0.585393258,0.188517566,,0.330049261,0.306351183,0.785148515,0.266002845,0.323633157,0.67,,,,0.233241506,0.468856947,0,0.239754098,0.350553506,0.436341901,0.260558804,0.321311475,0.376447876,0.906771344,,0.463,0.677008751,,0.347086127,,,0.375541126,0.158058494,0.138760407,0.543632075,0,0.01266825,0.496363636,0.639871383,0.4225844,0.005285412,0.62358643,,0.345503117,0.470730235,0.444565217,0.042133463,0,0.398481973,0.457956016,0.364182692,0.510324484,0.273794003,0.364423077,0.601816805,,0.3618202,0.037328094,0.235131397,0.282450675,,,0.887353879,0.138029782,0.093347086,0.401918977,0.471411902,,0.62755102,,,0.206098843,0.104384134,23
United States,Montana,2020-04-13,0.184498956,0.211764706,0.094479226,0.414713015,0,0.178257118,0.016198347,0.463647959,0.351837373,0.67816092,0.85049239,,0.20979021,,0.346840659,0.662028725,0.183032207,0.149727768,0.295454545,0.655145326,,0.594202899,0.758418741,,0.217948718,0.337507827,0.595995289,,,0.421348315,0.415595544,,0.315270936,0.209215442,0.440594059,0.355618777,0.116402116,0.61625,,,,0.385215794,0.527036277,0.254138267,0.344262295,0.338560886,0.4237896,0.231319038,0.27704918,0.304054054,0.902845927,,0.2115,0.550517104,,0.21248066,,,0.391774892,0.311761045,0.844588344,0.376179245,0.619796485,0.184481394,0.27,0.506966774,0.378346915,0.409090909,0.692245557,,0.651825467,0.446590223,0.894565217,0.031417438,0.553780618,1,0.906856404,0.366586538,0.910521141,0.700130378,0.201923077,0.315669947,,0.702552719,0.431237721,0.164591978,0.617860852,,,0.375132837,0.37628866,0.168643631,0.242004264,0.313885648,,0.7303207,,,0.003154574,0.224425887,8
United States,Montana,2020-04-20,0.228079332,0.147217806,0.114399545,0.587712207,0.463476071,0.142191544,0.092451791,0.371811224,0.234558249,0.202791461,1,,0.537062937,,0.197115385,0.250448833,0.290652003,0.395644283,0.222222222,0.186959937,,0.670011148,0.434846266,,0.070818071,0.378835316,0.510011779,,,0,0.6520994,,0.382594417,0.486924035,0.342574257,0.237553343,0.380952381,0.47375,,,,0.235078053,0.353182752,0.219084713,0.267076503,0.197878229,0.55887627,0.476283301,0.731147541,0.245173745,0.73110893,,0.35,0.498011138,,0.180505415,,,0.430735931,0.365276914,0.306197965,,0.370027752,0.312747427,0.121818182,0.246516613,0.526193248,0.294926004,0.874798061,,0.559216385,0.502112251,0.60326087,0.179493424,0.375931842,0.470588235,0.736093144,0.355769231,0.52605703,0.475880052,0.303846154,0.517789553,,0.742508324,0.408644401,0.253803596,0.371754933,,,0.683315622,0.213058419,0.222279526,0.282515991,0.451575263,,0.4803207,,,0.369085174,0.412317328,6
United States,Montana,2020-04-27,0.176409186,0.152305246,0.41149687,0.341147939,0.437027708,0.101294219,0.072176309,0.212372449,0.506645817,0,0.692927484,,0.741258741,,0.643543956,0.513016158,0.362922231,0.605263158,0.303030303,0.606441477,,,0.654465593,,0,0.224796493,0.869257951,,,0.611235955,0.317052271,,0.34318555,0.186799502,0.306930693,0.397581792,0.582010582,0.41125,,,,0.177226814,0.162902122,0.222979552,0.404371585,0.339483395,0.248655111,0.22157245,0.403278689,0.282818533,0.73110893,,0.327,0.681782021,,0.090252708,,,0.784632035,0.100186683,1,0.372641509,0.452358927,0.162311956,0.134545455,0.712754555,0.450523865,0.571881607,0.632471729,,0.551202137,0.501508751,0.861956522,0.543594739,0.370607029,0.360531309,0.53686934,0.235576923,0.205506391,0.681877445,0.326923077,0.362604088,,0.320754717,0.325147348,0.164591978,0.782969886,,,0.62911796,,0.111913357,0.392324094,0.911318553,,0.567784257,,,0.323869611,0.019832985,0
United States,Montana,2020-05-04,0.220511482,0.086486486,0.199203187,0.467259499,,0.063848145,0.083085399,0.647321429,0.450351837,0.108374384,0,,0.485314685,,0.070054945,0.231597846,0.172034564,0.528130672,0.228956229,0.587588374,,0,0.566617862,,0.340659341,0.127739512,0.348645465,,,0.487640449,0.520994002,,0.166666667,0.153175592,0.211881188,0.177809388,0.226631393,0.59,,,,0.180899908,0.135523614,0.406037001,0.192622951,0.213560886,0.333532576,0.812215724,0.580327869,0.348455598,0.662414132,,0.1355,0.61893397,,0.142341413,,,0.409090909,0.397635345,0.663274746,0,0.406105458,0.323832146,0.342727273,0.445873526,0.620488941,0.474630021,0.160743134,,0.681211042,0.458660229,0.786956522,0.248904043,0.03514377,0.168880455,0.614489004,0.375,0.283185841,0.474576271,0.455769231,0.178652536,,0.490566038,0.512770138,0.185338866,0.559709242,,,0.410201913,0.206185567,0.240845797,0.365671642,0.35705951,,0.482507289,,,0.079915878,0.350730689,1
United States,Montana,2020-05-11,0.272181628,0.036565978,0.184405236,0.299110752,0.083123426,0.024158758,0.094325069,0.514030612,0.307271306,0.085385878,0.403760072,,0.264335664,,0.175137363,0.299371634,0.212490181,0.589836661,0.227272727,0.462686567,,0.570791527,0.089311859,,0.068376068,0.237946149,0.106007067,,,0.484269663,0.589545844,,0.183908046,0.566625156,0.302970297,0.421763869,0.529100529,0.25625,,,,0.10835629,0.093086927,0.356377799,0.149590164,0.178505535,0.338314405,0.699805068,0.709836066,0.438223938,0.471050049,,0.182,0.595863166,,0.030428056,,,0.483766234,0.134411948,0.28307123,0.279481132,0.49213691,0.311163895,0.131818182,0.326902465,0.420256112,0.191331924,0.631663974,,0.591273375,0.290283645,0.495652174,0.084754019,0.402555911,0.028462998,0.655886158,0.716346154,0.186823992,0.627118644,0.175,0.240726722,,0.513873474,0.390962672,,0.146417445,,,0.382571732,0.156930126,0.287777205,0.388059701,0.645274212,,0.304664723,,,0.015772871,0.697286013,1
United States,Montana,2020-05-18,0.17197286,0.037519873,0.070005692,0.374292643,0.301007557,0.183951682,0.019614325,0.477040816,0.221266615,0.164203612,0.482542525,,0.015384615,,0.195054945,0.350987433,0.203456402,0.417422868,0.202020202,0.464257659,,0.386845039,0.158125915,,0.216117216,0.09830933,0.346289753,,,0.250561798,0.366752356,,0.247947455,0.484433375,0.202970297,0.459459459,0.155202822,0.1675,,,,0.128099174,0.005475702,0.442064265,0.536885246,0.136531365,0.430364614,1,0.81147541,0.120656371,0.980372915,,0.086,0.61256961,,0.043837029,,,0.646103896,0.350342253,0.407030527,0.41745283,0.325624422,0,0.055454545,0.569131833,0.010477299,0.278012685,0.268982229,,0.779162956,0.283645142,0.425,0.155625913,0.809371672,0.123339658,0.811125485,0.197115385,0.180924287,0.723598435,0.606730769,0.395912188,,0.450610433,0.266208251,0.128630705,0.408099688,,,0.47183847,0,0.471376998,0.263326226,0.16336056,,0.220116618,,,0.057833859,0.103340292,2
